Date,CPI,Inflation,Year
1956.12,27.6,0.029850746268656744,1956
1957.12,28.4,0.028985507246376708,1957
1958.12,28.9,0.017605633802816902,1958
1959.12,29.4,0.01730103806228374,1959
1960.12,29.8,0.01360544217687082,1960
1961.12,30.0,0.00671140939597313,1961
1962.12,30.4,0.013333333333333286,1962
1963.12,30.9,0.01644736842105263,1963
1964.12,31.2,0.009708737864077693,1964
1965.12,31.8,0.019230769230769277,1965
1966.12,32.9,0.03459119496855339,1966
1967.12,33.9,0.030395136778115502,1967
1968.12,35.5,0.04719764011799414,1968
1969.12,37.7,0.06197183098591557,1969
1970.12,39.8,0.05570291777188313,1970
1971.12,41.1,0.03266331658291468,1971
1972.12,42.5,0.03406326034063257,1972
1973.12,46.2,0.08705882352941183,1973
1974.12,51.9,0.12337662337662328,1974
1975.12,55.5,0.06936416184971102,1975
1976.12,58.2,0.0486486486486487,1976
1977.12,62.1,0.06701030927835049,1977
1978.12,67.7,0.09017713365539455,1978
1979.12,76.7,0.1329394387001477,1979
1980.12,86.3,0.12516297262059967,1980
1981.12,94.0,0.08922363847045195,1981
1982.12,97.6,0.03829787234042547,1982
1983.12,101.3,0.0379098360655738,1983
1984.12,105.3,0.039486673247778874,1984
1985.12,109.3,0.03798670465337132,1985
1986.12,110.5,0.010978956999085113,1986
1987.12,115.4,0.04434389140271498,1987
1988.12,120.5,0.044194107452339634,1988
1989.12,126.1,0.046473029045643106,1989
1990.12,133.8,0.06106264869151481,1990
1991.12,137.9,0.030642750373692032,1991
1992.12,141.9,0.0290065264684554,1992
1993.12,145.8,0.02748414376321357,1993
1994.12,149.7,0.02674897119341548,1994
1995.12,153.5,0.025384101536406224,1995
1996.12,158.6,0.033224755700325695,1996
1997.12,161.3,0.017023959646910575,1997
1998.12,163.9,0.016119032858028483,1998
1999.12,168.3,0.02684563758389265,1999
2000.12,174.0,0.03386809269162203,2000
2001.12,176.7,0.015517241379310279,2001
2002.12,180.9,0.023769100169779386,2002
2003.12,184.3,0.01879491431730241,2003
2004.12,190.3,0.032555615843733045,2004
2005.12,196.8,0.03415659485023647,2005
2006.12,201.8,0.02540650406504065,2006
2007.12,210.036,0.04081268582755198,2007
2008.12,210.228,0.0009141290064560708,2008
2009.12,215.949,0.02721331126205835,2009
2010.12,219.179,0.014957235273143148,2010
2011.12,225.672,0.02962418844871085,2011
2012.12,229.601,0.017410223687475638,2012
2013.12,233.049,0.015017356196183848,2013
2014.12,234.812,0.0075649326965573985,2014
2015.12,236.525,0.007295197860415966,2015
2016.12,241.432,0.020746221329669093,2016
2017.12,246.524,0.02109082474568414,2017
2018.12,251.233,0.019101588486313718,2018
2019.12,256.974,0.02285129740121714,2019
2020.12,260.474,0.013620054947193101,2020
2021.12,278.802,0.07036402865545134,2021
2022.12,296.797,0.06454401331410824,2022
2023.12,306.746,0.033521228314302216,2023
